Domain,NLP Task,Value
Mathematics,optical character recognition,0
Mathematics,speech recognition,0
Mathematics,speech segmentation,0
Mathematics,text-to-speech,0
Mathematics,word segmentation,0
Mathematics,lemmatization,0
Mathematics,morphological segmentation,0
Mathematics,part-of-speech tagging,0
Mathematics,stemming,0
Mathematics,grammar induction,0
Mathematics,sentence breaking ,0
Mathematics,parsing,0
Mathematics,lexical semantics,0
Mathematics,distributional semantics,0
Mathematics,named entity recognition,0
Mathematics,sentiment analysis,0
Mathematics,terminology extraction,0
Mathematics,word-sense disambiguation,0
Mathematics,entity linking,0
Mathematics,multiword expressions,0
Mathematics,relationship extraction,0
Mathematics,semantic parsing,0
Mathematics,semantic role labelling,0
Mathematics,coreference resolution,0
Mathematics,discourse analysis,0
Mathematics,implicit semantic role labelling,0
Mathematics,recognizing textual entailment,0
Mathematics,topic segmentation,0
Mathematics,argument mining,0
Mathematics,anaphora resolution,0
Computer science,optical character recognition,0
Computer science,speech recognition,0
Computer science,speech segmentation,0
Computer science,text-to-speech,0
Computer science,word segmentation,0
Computer science,lemmatization,0
Computer science,morphological segmentation,0
Computer science,part-of-speech tagging,0
Computer science,stemming,0
Computer science,grammar induction,0
Computer science,sentence breaking ,0
Computer science,parsing,0
Computer science,lexical semantics,0
Computer science,distributional semantics,0
Computer science,named entity recognition,0
Computer science,sentiment analysis,0
Computer science,terminology extraction,0
Computer science,word-sense disambiguation,0
Computer science,entity linking,0
Computer science,multiword expressions,0
Computer science,relationship extraction,0
Computer science,semantic parsing,0
Computer science,semantic role labelling,0
Computer science,coreference resolution,0
Computer science,discourse analysis,0
Computer science,implicit semantic role labelling,0
Computer science,recognizing textual entailment,0
Computer science,topic segmentation,0
Computer science,argument mining,0
Computer science,anaphora resolution,0
Physics,optical character recognition,0
Physics,speech recognition,0
Physics,speech segmentation,0
Physics,text-to-speech,0
Physics,word segmentation,1
Physics,lemmatization,1
Physics,morphological segmentation,0
Physics,part-of-speech tagging,0
Physics,stemming,0
Physics,grammar induction,0
Physics,sentence breaking ,0
Physics,parsing,1
Physics,lexical semantics,0
Physics,distributional semantics,0
Physics,named entity recognition,1
Physics,sentiment analysis,0
Physics,terminology extraction,0
Physics,word-sense disambiguation,0
Physics,entity linking,0
Physics,multiword expressions,0
Physics,relationship extraction,0
Physics,semantic parsing,0
Physics,semantic role labelling,0
Physics,coreference resolution,0
Physics,discourse analysis,0
Physics,implicit semantic role labelling,0
Physics,recognizing textual entailment,0
Physics,topic segmentation,0
Physics,argument mining,0
Physics,anaphora resolution,0
Chemistry,optical character recognition,0
Chemistry,speech recognition,0
Chemistry,speech segmentation,0
Chemistry,text-to-speech,0
Chemistry,word segmentation,0
Chemistry,lemmatization,0
Chemistry,morphological segmentation,0
Chemistry,part-of-speech tagging,0
Chemistry,stemming,0
Chemistry,grammar induction,0
Chemistry,sentence breaking ,0
Chemistry,parsing,0
Chemistry,lexical semantics,0
Chemistry,distributional semantics,0
Chemistry,named entity recognition,0
Chemistry,sentiment analysis,0
Chemistry,terminology extraction,0
Chemistry,word-sense disambiguation,0
Chemistry,entity linking,0
Chemistry,multiword expressions,0
Chemistry,relationship extraction,0
Chemistry,semantic parsing,0
Chemistry,semantic role labelling,0
Chemistry,coreference resolution,0
Chemistry,discourse analysis,0
Chemistry,implicit semantic role labelling,0
Chemistry,recognizing textual entailment,0
Chemistry,topic segmentation,0
Chemistry,argument mining,0
Chemistry,anaphora resolution,0
Environmental sciences,optical character recognition,0
Environmental sciences,speech recognition,0
Environmental sciences,speech segmentation,0
Environmental sciences,text-to-speech,0
Environmental sciences,word segmentation,0
Environmental sciences,lemmatization,0
Environmental sciences,morphological segmentation,0
Environmental sciences,part-of-speech tagging,0
Environmental sciences,stemming,0
Environmental sciences,grammar induction,0
Environmental sciences,sentence breaking ,0
Environmental sciences,parsing,0
Environmental sciences,lexical semantics,0
Environmental sciences,distributional semantics,0
Environmental sciences,named entity recognition,0
Environmental sciences,sentiment analysis,0
Environmental sciences,terminology extraction,0
Environmental sciences,word-sense disambiguation,0
Environmental sciences,entity linking,0
Environmental sciences,multiword expressions,0
Environmental sciences,relationship extraction,0
Environmental sciences,semantic parsing,0
Environmental sciences,semantic role labelling,0
Environmental sciences,coreference resolution,0
Environmental sciences,discourse analysis,0
Environmental sciences,implicit semantic role labelling,0
Environmental sciences,recognizing textual entailment,0
Environmental sciences,topic segmentation,0
Environmental sciences,argument mining,0
Environmental sciences,anaphora resolution,0
Biological sciences,optical character recognition,0
Biological sciences,speech recognition,0
Biological sciences,speech segmentation,0
Biological sciences,text-to-speech,0
Biological sciences,word segmentation,1
Biological sciences,lemmatization,1
Biological sciences,morphological segmentation,0
Biological sciences,part-of-speech tagging,0
Biological sciences,stemming,0
Biological sciences,grammar induction,0
Biological sciences,sentence breaking ,0
Biological sciences,parsing,1
Biological sciences,lexical semantics,0
Biological sciences,distributional semantics,0
Biological sciences,named entity recognition,1
Biological sciences,sentiment analysis,0
Biological sciences,terminology extraction,0
Biological sciences,word-sense disambiguation,0
Biological sciences,entity linking,0
Biological sciences,multiword expressions,0
Biological sciences,relationship extraction,0
Biological sciences,semantic parsing,0
Biological sciences,semantic role labelling,0
Biological sciences,coreference resolution,0
Biological sciences,discourse analysis,0
Biological sciences,implicit semantic role labelling,0
Biological sciences,recognizing textual entailment,0
Biological sciences,topic segmentation,0
Biological sciences,argument mining,0
Biological sciences,anaphora resolution,0
Civil engineering,optical character recognition,0
Civil engineering,speech recognition,0
Civil engineering,speech segmentation,0
Civil engineering,text-to-speech,0
Civil engineering,word segmentation,0
Civil engineering,lemmatization,0
Civil engineering,morphological segmentation,0
Civil engineering,part-of-speech tagging,0
Civil engineering,stemming,0
Civil engineering,grammar induction,0
Civil engineering,sentence breaking ,0
Civil engineering,parsing,0
Civil engineering,lexical semantics,0
Civil engineering,distributional semantics,0
Civil engineering,named entity recognition,0
Civil engineering,sentiment analysis,0
Civil engineering,terminology extraction,0
Civil engineering,word-sense disambiguation,0
Civil engineering,entity linking,0
Civil engineering,multiword expressions,0
Civil engineering,relationship extraction,0
Civil engineering,semantic parsing,0
Civil engineering,semantic role labelling,0
Civil engineering,coreference resolution,0
Civil engineering,discourse analysis,0
Civil engineering,implicit semantic role labelling,0
Civil engineering,recognizing textual entailment,0
Civil engineering,topic segmentation,0
Civil engineering,argument mining,0
Civil engineering,anaphora resolution,0
Electrical engineering,optical character recognition,0
Electrical engineering,speech recognition,0
Electrical engineering,speech segmentation,0
Electrical engineering,text-to-speech,0
Electrical engineering,word segmentation,0
Electrical engineering,lemmatization,0
Electrical engineering,morphological segmentation,0
Electrical engineering,part-of-speech tagging,0
Electrical engineering,stemming,0
Electrical engineering,grammar induction,0
Electrical engineering,sentence breaking ,0
Electrical engineering,parsing,0
Electrical engineering,lexical semantics,0
Electrical engineering,distributional semantics,0
Electrical engineering,named entity recognition,0
Electrical engineering,sentiment analysis,0
Electrical engineering,terminology extraction,0
Electrical engineering,word-sense disambiguation,0
Electrical engineering,entity linking,0
Electrical engineering,multiword expressions,0
Electrical engineering,relationship extraction,0
Electrical engineering,semantic parsing,0
Electrical engineering,semantic role labelling,0
Electrical engineering,coreference resolution,0
Electrical engineering,discourse analysis,0
Electrical engineering,implicit semantic role labelling,0
Electrical engineering,recognizing textual entailment,0
Electrical engineering,topic segmentation,0
Electrical engineering,argument mining,0
Electrical engineering,anaphora resolution,0
Electronic engineering,optical character recognition,0
Electronic engineering,speech recognition,0
Electronic engineering,speech segmentation,0
Electronic engineering,text-to-speech,0
Electronic engineering,word segmentation,0
Electronic engineering,lemmatization,0
Electronic engineering,morphological segmentation,0
Electronic engineering,part-of-speech tagging,0
Electronic engineering,stemming,0
Electronic engineering,grammar induction,0
Electronic engineering,sentence breaking ,0
Electronic engineering,parsing,0
Electronic engineering,lexical semantics,0
Electronic engineering,distributional semantics,0
Electronic engineering,named entity recognition,0
Electronic engineering,sentiment analysis,0
Electronic engineering,terminology extraction,0
Electronic engineering,word-sense disambiguation,0
Electronic engineering,entity linking,0
Electronic engineering,multiword expressions,0
Electronic engineering,relationship extraction,0
