Domain,NLP Task,Value
Mathematics,optical character recognition,1
Mathematics,speech recognition,0
Mathematics,speech segmentation,0
Mathematics,text-to-speech,0
Mathematics,word segmentation,0
Mathematics,lemmatization,0
Mathematics,morphological segmentation,0
Mathematics,part-of-speech tagging,0
Mathematics,stemming,0
Mathematics,grammar induction,0
Mathematics,sentence breaking ,0
Mathematics,parsing,2
Mathematics,lexical semantics,0
Mathematics,distributional semantics,0
Mathematics,named entity recognition,0
Mathematics,sentiment analysis,0
Mathematics,terminology extraction,0
Mathematics,word-sense disambiguation,1
Mathematics,entity linking,0
Mathematics,multiword expressions,1
Mathematics,relationship extraction,0
Mathematics,semantic parsing,0
Mathematics,semantic role labelling,0
Mathematics,coreference resolution,1
Mathematics,discourse analysis,0
Mathematics,implicit semantic role labelling,0
Mathematics,recognizing textual entailment,0
Mathematics,topic segmentation,0
Mathematics,argument mining,0
Mathematics,anaphora resolution,3
Computer science,optical character recognition,3
Computer science,speech recognition,4
Computer science,speech segmentation,0
Computer science,text-to-speech,0
Computer science,word segmentation,2
Computer science,lemmatization,0
Computer science,morphological segmentation,0
Computer science,part-of-speech tagging,1
Computer science,stemming,0
Computer science,grammar induction,0
Computer science,sentence breaking ,0
Computer science,parsing,4
Computer science,lexical semantics,1
Computer science,distributional semantics,0
Computer science,named entity recognition,0
Computer science,sentiment analysis,2
Computer science,terminology extraction,0
Computer science,word-sense disambiguation,1
Computer science,entity linking,0
Computer science,multiword expressions,3
Computer science,relationship extraction,0
Computer science,semantic parsing,0
Computer science,semantic role labelling,0
Computer science,coreference resolution,2
Computer science,discourse analysis,2
Computer science,implicit semantic role labelling,0
Computer science,recognizing textual entailment,0
Computer science,topic segmentation,0
Computer science,argument mining,0
Computer science,anaphora resolution,0
Physics,optical character recognition,0
Physics,speech recognition,0
Physics,speech segmentation,0
Physics,text-to-speech,0
Physics,word segmentation,0
Physics,lemmatization,0
Physics,morphological segmentation,0
Physics,part-of-speech tagging,0
Physics,stemming,0
Physics,grammar induction,0
Physics,sentence breaking ,0
Physics,parsing,0
Physics,lexical semantics,0
Physics,distributional semantics,0
Physics,named entity recognition,1
Physics,sentiment analysis,0
Physics,terminology extraction,0
Physics,word-sense disambiguation,1
Physics,entity linking,2
Physics,multiword expressions,1
Physics,relationship extraction,0
Physics,semantic parsing,0
Physics,semantic role labelling,0
Physics,coreference resolution,2
Physics,discourse analysis,0
Physics,implicit semantic role labelling,0
Physics,recognizing textual entailment,0
Physics,topic segmentation,1
Physics,argument mining,0
Physics,anaphora resolution,1
Chemistry,optical character recognition,1
Chemistry,speech recognition,0
Chemistry,speech segmentation,0
Chemistry,text-to-speech,0
Chemistry,word segmentation,1
Chemistry,lemmatization,0
Chemistry,morphological segmentation,0
Chemistry,part-of-speech tagging,0
Chemistry,stemming,0
Chemistry,grammar induction,0
Chemistry,sentence breaking ,0
Chemistry,parsing,2
Chemistry,lexical semantics,0
Chemistry,distributional semantics,0
Chemistry,named entity recognition,0
Chemistry,sentiment analysis,0
Chemistry,terminology extraction,0
Chemistry,word-sense disambiguation,0
Chemistry,entity linking,0
Chemistry,multiword expressions,0
Chemistry,relationship extraction,0
Chemistry,semantic parsing,0
Chemistry,semantic role labelling,0
Chemistry,coreference resolution,0
Chemistry,discourse analysis,0
Chemistry,implicit semantic role labelling,0
Chemistry,recognizing textual entailment,0
Chemistry,topic segmentation,0
Chemistry,argument mining,0
Chemistry,anaphora resolution,0
Environmental sciences,optical character recognition,0
Environmental sciences,speech recognition,0
Environmental sciences,speech segmentation,0
Environmental sciences,text-to-speech,0
Environmental sciences,word segmentation,0
Environmental sciences,lemmatization,0
Environmental sciences,morphological segmentation,0
Environmental sciences,part-of-speech tagging,0
Environmental sciences,stemming,0
Environmental sciences,grammar induction,0
Environmental sciences,sentence breaking ,0
Environmental sciences,parsing,0
Environmental sciences,lexical semantics,0
Environmental sciences,distributional semantics,0
Environmental sciences,named entity recognition,0
Environmental sciences,sentiment analysis,0
Environmental sciences,terminology extraction,0
Environmental sciences,word-sense disambiguation,0
Environmental sciences,entity linking,0
Environmental sciences,multiword expressions,0
Environmental sciences,relationship extraction,0
Environmental sciences,semantic parsing,0
Environmental sciences,semantic role labelling,0
Environmental sciences,coreference resolution,0
Environmental sciences,discourse analysis,0
Environmental sciences,implicit semantic role labelling,0
Environmental sciences,recognizing textual entailment,0
Environmental sciences,topic segmentation,0
Environmental sciences,argument mining,0
Environmental sciences,anaphora resolution,0
Biological sciences,optical character recognition,2
Biological sciences,speech recognition,0
Biological sciences,speech segmentation,0
Biological sciences,text-to-speech,0
Biological sciences,word segmentation,3
Biological sciences,lemmatization,1
Biological sciences,morphological segmentation,0
Biological sciences,part-of-speech tagging,0
Biological sciences,stemming,0
Biological sciences,grammar induction,0
Biological sciences,sentence breaking ,0
Biological sciences,parsing,4
Biological sciences,lexical semantics,0
Biological sciences,distributional semantics,0
Biological sciences,named entity recognition,4
Biological sciences,sentiment analysis,1
Biological sciences,terminology extraction,0
Biological sciences,word-sense disambiguation,2
Biological sciences,entity linking,0
Biological sciences,multiword expressions,1
Biological sciences,relationship extraction,0
Biological sciences,semantic parsing,0
Biological sciences,semantic role labelling,0
Biological sciences,coreference resolution,0
Biological sciences,discourse analysis,0
Biological sciences,implicit semantic role labelling,0
Biological sciences,recognizing textual entailment,0
Biological sciences,topic segmentation,0
Biological sciences,argument mining,0
Biological sciences,anaphora resolution,0
Civil engineering,optical character recognition,0
Civil engineering,speech recognition,0
Civil engineering,speech segmentation,0
Civil engineering,text-to-speech,0
Civil engineering,word segmentation,0
Civil engineering,lemmatization,0
Civil engineering,morphological segmentation,0
Civil engineering,part-of-speech tagging,0
Civil engineering,stemming,0
Civil engineering,grammar induction,0
Civil engineering,sentence breaking ,0
Civil engineering,parsing,0
Civil engineering,lexical semantics,0
Civil engineering,distributional semantics,0
Civil engineering,named entity recognition,0
Civil engineering,sentiment analysis,0
Civil engineering,terminology extraction,0
Civil engineering,word-sense disambiguation,0
Civil engineering,entity linking,0
Civil engineering,multiword expressions,0
Civil engineering,relationship extraction,0
Civil engineering,semantic parsing,0
Civil engineering,semantic role labelling,0
Civil engineering,coreference resolution,0
Civil engineering,discourse analysis,0
Civil engineering,implicit semantic role labelling,0
Civil engineering,recognizing textual entailment,0
Civil engineering,topic segmentation,0
Civil engineering,argument mining,0
Civil engineering,anaphora resolution,0
Electrical engineering,optical character recognition,0
Electrical engineering,speech recognition,0
Electrical engineering,speech segmentation,0
Electrical engineering,text-to-speech,0
Electrical engineering,word segmentation,0
Electrical engineering,lemmatization,0
Electrical engineering,morphological segmentation,0
Electrical engineering,part-of-speech tagging,0
Electrical engineering,stemming,0
Electrical engineering,grammar induction,0
Electrical engineering,sentence breaking ,0
Electrical engineering,parsing,0
Electrical engineering,lexical semantics,0
Electrical engineering,distributional semantics,0
Electrical engineering,named entity recognition,0
Electrical engineering,sentiment analysis,0
Electrical engineering,terminology extraction,0
Electrical engineering,word-sense disambiguation,0
Electrical engineering,entity linking,0
Electrical engineering,multiword expressions,0
Electrical engineering,relationship extraction,0
Electrical engineering,semantic parsing,0
Electrical engineering,semantic role labelling,0
Electrical engineering,coreference resolution,0
Electrical engineering,discourse analysis,0
Electrical engineering,implicit semantic role labelling,0
Electrical engineering,recognizing textual entailment,0
Electrical engineering,topic segmentation,0
Electrical engineering,argument mining,0
Electrical engineering,anaphora resolution,0
Electronic engineering,optical character recognition,0
Electronic engineering,speech recognition,0
Electronic engineering,speech segmentation,0
Electronic engineering,text-to-speech,0
Electronic engineering,word segmentation,0
Electronic engineering,lemmatization,0
Electronic engineering,morphological segmentation,0
Electronic engineering,part-of-speech tagging,0
Electronic engineering,stemming,0
Electronic engineering,grammar induction,0
Electronic engineering,sentence breaking ,0
Electronic engineering,parsing,0
Electronic engineering,lexical semantics,0
Electronic engineering,distributional semantics,0
Electronic engineering,named entity recognition,0
Electronic engineering,sentiment analysis,0
Electronic engineering,terminology extraction,0
Electronic engineering,word-sense disambiguation,0
Electronic engineering,entity linking,0
Electronic engineering,multiword expressions,0
Electronic engineering,relationship extraction,0
Electronic engineering,semantic parsing,0
Electronic engineering,semantic role labelling,0
Electronic engineering,coreference resolution,0
Electronic engineering,discourse analysis,0
Electronic engineering,implicit semantic role labelling,0
Electronic engineering,recognizing textual entailment,0
Electronic engineering,topic segmentation,0
Electronic engineering,argument mining,0
Electronic engineering,anaphora resolution,0
Information engineering,optical character recognition,0
Information engineering,speech recognition,0
Information engineering,speech segmentation,0
Information engineering,text-to-speech,0
Information engineering,word segmentation,0
Information engineering,lemmatization,0
Information engineering,morphological segmentation,0
Information engineering,part-of-speech tagging,0
Information engineering,stemming,0
Information engineering,grammar induction,0
Information engineering,sentence breaking ,0
Information engineering,parsing,0
Information engineering,lexical semantics,0
Information engineering,distributional semantics,0
Information engineering,named entity recognition,0
Information engineering,sentiment analysis,0
Information engineering,terminology extraction,0
Information engineering,word-sense disambiguation,0
Information engineering,entity linking,0
Information engineering,multiword expressions,0
Information engineering,relationship extraction,0
Information engineering,semantic parsing,0
Information engineering,semantic role labelling,0
Information engineering,coreference resolution,0
Information engineering,discourse analysis,0
Information engineering,implicit semantic role labelling,0
Information engineering,recognizing textual entailment,0
Information engineering,topic segmentation,0
Information engineering,argument mining,0
Information engineering,anaphora resolution,0
Mechanical engineering,optical character recognition,0
Mechanical engineering,speech recognition,0
Mechanical engineering,speech segmentation,0
Mechanical engineering,text-to-speech,0
Mechanical engineering,word segmentation,0
Mechanical engineering,lemmatization,0
Mechanical engineering,morphological segmentation,0
Mechanical engineering,part-of-speech tagging,0
Mechanical engineering,stemming,0
Mechanical engineering,grammar induction,0
Mechanical engineering,sentence breaking ,0
Mechanical engineering,parsing,0
Mechanical engineering,lexical semantics,0
Mechanical engineering,distributional semantics,0
Mechanical engineering,named entity recognition,0
Mechanical engineering,sentiment analysis,0
Mechanical engineering,terminology extraction,0
Mechanical engineering,word-sense disambiguation,0
Mechanical engineering,entity linking,0
Mechanical engineering,multiword expressions,0
Mechanical engineering,relationship extraction,0
Mechanical engineering,semantic parsing,0
Mechanical engineering,semantic role labelling,0
Mechanical engineering,coreference resolution,0
Mechanical engineering,discourse analysis,0
Mechanical engineering,implicit semantic role labelling,0
Mechanical engineering,recognizing textual entailment,0
Mechanical engineering,topic segmentation,0
Mechanical engineering,argument mining,0
Mechanical engineering,anaphora resolution,0
Chemical engineering,optical character recognition,0
Chemical engineering,speech recognition,0
Chemical engineering,speech segmentation,0
Chemical engineering,text-to-speech,0
Chemical engineering,word segmentation,0
Chemical engineering,lemmatization,0
Chemical engineering,morphological segmentation,0
Chemical engineering,part-of-speech tagging,0
Chemical engineering,stemming,0
Chemical engineering,grammar induction,0
Chemical engineering,sentence breaking ,0
Chemical engineering,parsing,0
Chemical engineering,lexical semantics,0
Chemical engineering,distributional semantics,0
Chemical engineering,named entity recognition,0
Chemical engineering,sentiment analysis,0
Chemical engineering,terminology extraction,0
Chemical engineering,word-sense disambiguation,0
Chemical engineering,entity linking,0
Chemical engineering,multiword expressions,0
Chemical engineering,relationship extraction,0
Chemical engineering,semantic parsing,0
Chemical engineering,semantic role labelling,0
Chemical engineering,coreference resolution,0
Chemical engineering,discourse analysis,0
Chemical engineering,implicit semantic role labelling,0
Chemical engineering,recognizing textual entailment,0
Chemical engineering,topic segmentation,0
Chemical engineering,argument mining,0
Chemical engineering,anaphora resolution,0
Materials engineering,optical character recognition,0
Materials engineering,speech recognition,0
Materials engineering,speech segmentation,0
Materials engineering,text-to-speech,0
Materials engineering,word segmentation,0
Materials engineering,lemmatization,0
Materials engineering,morphological segmentation,0
Materials engineering,part-of-speech tagging,0
Materials engineering,stemming,0
Materials engineering,grammar induction,0
Materials engineering,sentence breaking ,0
Materials engineering,parsing,0
Materials engineering,lexical semantics,0
Materials engineering,distributional semantics,0
Materials engineering,named entity recognition,0
Materials engineering,sentiment analysis,0
Materials engineering,terminology extraction,0
Materials engineering,word-sense disambiguation,0
Materials engineering,entity linking,0
Materials engineering,multiword expressions,0
Materials engineering,relationship extraction,0
Materials engineering,semantic parsing,0
Materials engineering,semantic role labelling,0
Materials engineering,coreference resolution,0
Materials engineering,discourse analysis,0
Materials engineering,implicit semantic role labelling,0
Materials engineering,recognizing textual entailment,0
Materials engineering,topic segmentation,0
Materials engineering,argument mining,0
Materials engineering,anaphora resolution,0
Medical engineering,optical character recognition,0
Medical engineering,speech recognition,0
Medical engineering,speech segmentation,0
Medical engineering,text-to-speech,0
Medical engineering,word segmentation,0
Medical engineering,lemmatization,0
Medical engineering,morphological segmentation,0
Medical engineering,part-of-speech tagging,0
Medical engineering,stemming,0
Medical engineering,grammar induction,0
Medical engineering,sentence breaking ,0
Medical engineering,parsing,0
Medical engineering,lexical semantics,0
Medical engineering,distributional semantics,0
Medical engineering,named entity recognition,0
Medical engineering,sentiment analysis,0
Medical engineering,terminology extraction,0
Medical engineering,word-sense disambiguation,0
Medical engineering,entity linking,0
Medical engineering,multiword expressions,0
Medical engineering,relationship extraction,0
Medical engineering,semantic parsing,0
Medical engineering,semantic role labelling,0
Medical engineering,coreference resolution,0
Medical engineering,discourse analysis,0
Medical engineering,implicit semantic role labelling,0
Medical engineering,recognizing textual entailment,0
Medical engineering,topic segmentation,0
Medical engineering,argument mining,0
Medical engineering,anaphora resolution,0
Environmental engineering,optical character recognition,0
Environmental engineering,speech recognition,0
Environmental engineering,speech segmentation,0
Environmental engineering,text-to-speech,0
Environmental engineering,word segmentation,0
Environmental engineering,lemmatization,0
Environmental engineering,morphological segmentation,0
Environmental engineering,part-of-speech tagging,0
Environmental engineering,stemming,0
Environmental engineering,grammar induction,0
Environmental engineering,sentence breaking ,0
Environmental engineering,parsing,0
Environmental engineering,lexical semantics,0
Environmental engineering,distributional semantics,0
Environmental engineering,named entity recognition,0
Environmental engineering,sentiment analysis,0
Environmental engineering,terminology extraction,0
Environmental engineering,word-sense disambiguation,0
Environmental engineering,entity linking,0
Environmental engineering,multiword expressions,0
Environmental engineering,relationship extraction,0
Environmental engineering,semantic parsing,0
Environmental engineering,semantic role labelling,0
Environmental engineering,coreference resolution,0
Environmental engineering,discourse analysis,0
Environmental engineering,implicit semantic role labelling,0
Environmental engineering,recognizing textual entailment,0
Environmental engineering,topic segmentation,0
Environmental engineering,argument mining,0
Environmental engineering,anaphora resolution,0
Environmental biotechnology,optical character recognition,0
Environmental biotechnology,speech recognition,0
Environmental biotechnology,speech segmentation,0
Environmental biotechnology,text-to-speech,0
Environmental biotechnology,word segmentation,0
Environmental biotechnology,lemmatization,0
Environmental biotechnology,morphological segmentation,0
Environmental biotechnology,part-of-speech tagging,0
Environmental biotechnology,stemming,0
Environmental biotechnology,grammar induction,0
Environmental biotechnology,sentence breaking ,0
Environmental biotechnology,parsing,0
Environmental biotechnology,lexical semantics,0
Environmental biotechnology,distributional semantics,0
Environmental biotechnology,named entity recognition,0
Environmental biotechnology,sentiment analysis,0
Environmental biotechnology,terminology extraction,0
Environmental biotechnology,word-sense disambiguation,0
Environmental biotechnology,entity linking,0
Environmental biotechnology,multiword expressions,0
Environmental biotechnology,relationship extraction,0
Environmental biotechnology,semantic parsing,0
Environmental biotechnology,semantic role labelling,0
Environmental biotechnology,coreference resolution,0
Environmental biotechnology,discourse analysis,0
Environmental biotechnology,implicit semantic role labelling,0
Environmental biotechnology,recognizing textual entailment,0
Environmental biotechnology,topic segmentation,0
Environmental biotechnology,argument mining,0
Environmental biotechnology,anaphora resolution,0
Industrial biotechnology,optical character recognition,0
Industrial biotechnology,speech recognition,0
Industrial biotechnology,speech segmentation,0
Industrial biotechnology,text-to-speech,0
Industrial biotechnology,word segmentation,0
Industrial biotechnology,lemmatization,0
Industrial biotechnology,morphological segmentation,0
Industrial biotechnology,part-of-speech tagging,0
Industrial biotechnology,stemming,0
Industrial biotechnology,grammar induction,0
Industrial biotechnology,sentence breaking ,0
Industrial biotechnology,parsing,0
Industrial biotechnology,lexical semantics,0
Industrial biotechnology,distributional semantics,0
Industrial biotechnology,named entity recognition,0
Industrial biotechnology,sentiment analysis,0
Industrial biotechnology,terminology extraction,0
Industrial biotechnology,word-sense disambiguation,0
Industrial biotechnology,entity linking,0
Industrial biotechnology,multiword expressions,0
Industrial biotechnology,relationship extraction,0
Industrial biotechnology,semantic parsing,0
Industrial biotechnology,semantic role labelling,0
Industrial biotechnology,coreference resolution,0
Industrial biotechnology,discourse analysis,0
Industrial biotechnology,implicit semantic role labelling,0
Industrial biotechnology,recognizing textual entailment,0
Industrial biotechnology,topic segmentation,0
Industrial biotechnology,argument mining,0
Industrial biotechnology,anaphora resolution,0
Nano-technology,optical character recognition,0
Nano-technology,speech recognition,0
Nano-technology,speech segmentation,0
Nano-technology,text-to-speech,0
Nano-technology,word segmentation,0
Nano-technology,lemmatization,0
Nano-technology,morphological segmentation,0
Nano-technology,part-of-speech tagging,0
Nano-technology,stemming,0
Nano-technology,grammar induction,0
Nano-technology,sentence breaking ,0
Nano-technology,parsing,0
Nano-technology,lexical semantics,0
Nano-technology,distributional semantics,0
Nano-technology,named entity recognition,0
Nano-technology,sentiment analysis,0
Nano-technology,terminology extraction,0
Nano-technology,word-sense disambiguation,0
Nano-technology,entity linking,0
Nano-technology,multiword expressions,0
Nano-technology,relationship extraction,0
Nano-technology,semantic parsing,0
Nano-technology,semantic role labelling,0
Nano-technology,coreference resolution,0
Nano-technology,discourse analysis,0
Nano-technology,implicit semantic role labelling,0
Nano-technology,recognizing textual entailment,0
Nano-technology,topic segmentation,0
Nano-technology,argument mining,0
Nano-technology,anaphora resolution,0
Agriculture,optical character recognition,0
Agriculture,speech recognition,0
Agriculture,speech segmentation,0
Agriculture,text-to-speech,0
Agriculture,word segmentation,1
Agriculture,lemmatization,1
Agriculture,morphological segmentation,0
Agriculture,part-of-speech tagging,0
Agriculture,stemming,1
Agriculture,grammar induction,0
Agriculture,sentence breaking ,0
Agriculture,parsing,1
Agriculture,lexical semantics,0
Agriculture,distributional semantics,0
Agriculture,named entity recognition,0
Agriculture,sentiment analysis,0
Agriculture,terminology extraction,0
Agriculture,word-sense disambiguation,0
Agriculture,entity linking,1
Agriculture,multiword expressions,0
Agriculture,relationship extraction,0
Agriculture,semantic parsing,0
Agriculture,semantic role labelling,0
Agriculture,coreference resolution,0
Agriculture,discourse analysis,0
Agriculture,implicit semantic role labelling,0
Agriculture,recognizing textual entailment,0
Agriculture,topic segmentation,0
Agriculture,argument mining,0
Agriculture,anaphora resolution,0
Forestry,optical character recognition,0
Forestry,speech recognition,0
Forestry,speech segmentation,0
Forestry,text-to-speech,0
Forestry,word segmentation,0
Forestry,lemmatization,0
Forestry,morphological segmentation,0
Forestry,part-of-speech tagging,0
Forestry,stemming,0
Forestry,grammar induction,0
Forestry,sentence breaking ,0
Forestry,parsing,0
Forestry,lexical semantics,0
Forestry,distributional semantics,0
Forestry,named entity recognition,0
Forestry,sentiment analysis,0
Forestry,terminology extraction,0
Forestry,word-sense disambiguation,0
Forestry,entity linking,0
Forestry,multiword expressions,0
Forestry,relationship extraction,0
Forestry,semantic parsing,0
Forestry,semantic role labelling,0
Forestry,coreference resolution,0
Forestry,discourse analysis,0
Forestry,implicit semantic role labelling,0
Forestry,recognizing textual entailment,0
Forestry,topic segmentation,0
Forestry,argument mining,0
Forestry,anaphora resolution,0
Fisheries,optical character recognition,0
Fisheries,speech recognition,0
Fisheries,speech segmentation,0
Fisheries,text-to-speech,0
Fisheries,word segmentation,0
Fisheries,lemmatization,0
Fisheries,morphological segmentation,0
Fisheries,part-of-speech tagging,0
Fisheries,stemming,0
Fisheries,grammar induction,0
Fisheries,sentence breaking ,0
Fisheries,parsing,0
Fisheries,lexical semantics,0
Fisheries,distributional semantics,0
Fisheries,named entity recognition,0
Fisheries,sentiment analysis,0
Fisheries,terminology extraction,0
Fisheries,word-sense disambiguation,0
Fisheries,entity linking,0
Fisheries,multiword expressions,0
Fisheries,relationship extraction,0
Fisheries,semantic parsing,0
Fisheries,semantic role labelling,0
Fisheries,coreference resolution,0
Fisheries,discourse analysis,0
Fisheries,implicit semantic role labelling,0
Fisheries,recognizing textual entailment,0
Fisheries,topic segmentation,0
Fisheries,argument mining,0
Fisheries,anaphora resolution,0
Animal and dairy science,optical character recognition,0
Animal and dairy science,speech recognition,0
Animal and dairy science,speech segmentation,0
Animal and dairy science,text-to-speech,0
Animal and dairy science,word segmentation,0
Animal and dairy science,lemmatization,0
Animal and dairy science,morphological segmentation,0
Animal and dairy science,part-of-speech tagging,0
Animal and dairy science,stemming,0
Animal and dairy science,grammar induction,0
Animal and dairy science,sentence breaking ,0
Animal and dairy science,parsing,0
Animal and dairy science,lexical semantics,0
Animal and dairy science,distributional semantics,0
Animal and dairy science,named entity recognition,0
Animal and dairy science,sentiment analysis,0
Animal and dairy science,terminology extraction,0
Animal and dairy science,word-sense disambiguation,0
Animal and dairy science,entity linking,0
Animal and dairy science,multiword expressions,0
Animal and dairy science,relationship extraction,0
Animal and dairy science,semantic parsing,0
Animal and dairy science,semantic role labelling,0
Animal and dairy science,coreference resolution,0
Animal and dairy science,discourse analysis,0
Animal and dairy science,implicit semantic role labelling,0
Animal and dairy science,recognizing textual entailment,0
Animal and dairy science,topic segmentation,0
Animal and dairy science,argument mining,0
Animal and dairy science,anaphora resolution,0
Veterenary,optical character recognition,0
Veterenary,speech recognition,0
Veterenary,speech segmentation,0
Veterenary,text-to-speech,0
Veterenary,word segmentation,0
Veterenary,lemmatization,0
Veterenary,morphological segmentation,0
Veterenary,part-of-speech tagging,0
Veterenary,stemming,0
Veterenary,grammar induction,0
Veterenary,sentence breaking ,0
Veterenary,parsing,0
Veterenary,lexical semantics,0
Veterenary,distributional semantics,0
Veterenary,named entity recognition,0
Veterenary,sentiment analysis,0
Veterenary,terminology extraction,0
Veterenary,word-sense disambiguation,0
Veterenary,entity linking,0
Veterenary,multiword expressions,0
Veterenary,relationship extraction,0
Veterenary,semantic parsing,0
Veterenary,semantic role labelling,0
Veterenary,coreference resolution,0
Veterenary,discourse analysis,0
Veterenary,implicit semantic role labelling,0
Veterenary,recognizing textual entailment,0
Veterenary,topic segmentation,0
Veterenary,argument mining,0
Veterenary,anaphora resolution,0
Agricultural biotechnology,optical character recognition,0
Agricultural biotechnology,speech recognition,0
Agricultural biotechnology,speech segmentation,0
Agricultural biotechnology,text-to-speech,0
Agricultural biotechnology,word segmentation,0
Agricultural biotechnology,lemmatization,0
Agricultural biotechnology,morphological segmentation,0
