Domain,NLP Task,Value
Mathematics,temporal processing,0
Mathematics,automatic summarization,0
Mathematics,grammatical error correction,0
Mathematics,machine translation,1
Mathematics,natural-language understanding,1
Mathematics,natural-language generation,0
Mathematics,book generation,0
Mathematics,document AI,0
Mathematics,dialogue management,0
Mathematics,question answering,1
Mathematics,text-to-image generation,0
Mathematics,text-to-scene generation,0
Mathematics,text-to-video,0
Mathematics,information retrieval,0
Mathematics,information extraction,0
Mathematics,multimodal systems,0
Mathematics,automated writing assistance,0
Mathematics,text simplification,0
Mathematics,author profiling,0
Mathematics,spam detection,0
Mathematics,virtual agents,0
Computer science,temporal processing,0
Computer science,automatic summarization,0
Computer science,grammatical error correction,0
Computer science,machine translation,0
Computer science,natural-language understanding,0
Computer science,natural-language generation,0
Computer science,book generation,0
Computer science,document AI,0
Computer science,dialogue management,0
Computer science,question answering,0
Computer science,text-to-image generation,0
Computer science,text-to-scene generation,0
Computer science,text-to-video,0
Computer science,information retrieval,0
Computer science,information extraction,0
Computer science,multimodal systems,0
Computer science,automated writing assistance,0
Computer science,text simplification,0
Computer science,author profiling,0
Computer science,spam detection,0
Computer science,virtual agents,0
Physics,temporal processing,0
Physics,automatic summarization,0
Physics,grammatical error correction,0
Physics,machine translation,0
Physics,natural-language understanding,0
Physics,natural-language generation,0
Physics,book generation,0
Physics,document AI,0
Physics,dialogue management,0
Physics,question answering,0
Physics,text-to-image generation,0
Physics,text-to-scene generation,0
Physics,text-to-video,0
Physics,information retrieval,0
Physics,information extraction,0
Physics,multimodal systems,0
Physics,automated writing assistance,0
Physics,text simplification,0
Physics,author profiling,0
Physics,spam detection,0
Physics,virtual agents,0
Chemistry,temporal processing,0
Chemistry,automatic summarization,0
Chemistry,grammatical error correction,0
Chemistry,machine translation,0
Chemistry,natural-language understanding,0
Chemistry,natural-language generation,0
Chemistry,book generation,0
Chemistry,document AI,0
Chemistry,dialogue management,0
Chemistry,question answering,0
Chemistry,text-to-image generation,0
Chemistry,text-to-scene generation,0
Chemistry,text-to-video,0
Chemistry,information retrieval,0
Chemistry,information extraction,0
Chemistry,multimodal systems,0
Chemistry,automated writing assistance,0
Chemistry,text simplification,0
Chemistry,author profiling,0
Chemistry,spam detection,0
Chemistry,virtual agents,0
Environmental sciences,temporal processing,0
Environmental sciences,automatic summarization,0
Environmental sciences,grammatical error correction,0
Environmental sciences,machine translation,0
Environmental sciences,natural-language understanding,0
Environmental sciences,natural-language generation,0
Environmental sciences,book generation,0
Environmental sciences,document AI,0
Environmental sciences,dialogue management,0
Environmental sciences,question answering,0
Environmental sciences,text-to-image generation,0
Environmental sciences,text-to-scene generation,0
Environmental sciences,text-to-video,0
Environmental sciences,information retrieval,0
Environmental sciences,information extraction,0
Environmental sciences,multimodal systems,0
Environmental sciences,automated writing assistance,0
Environmental sciences,text simplification,0
Environmental sciences,author profiling,0
Environmental sciences,spam detection,0
Environmental sciences,virtual agents,0
Biological sciences,temporal processing,0
Biological sciences,automatic summarization,0
Biological sciences,grammatical error correction,0
Biological sciences,machine translation,1
Biological sciences,natural-language understanding,1
Biological sciences,natural-language generation,0
Biological sciences,book generation,0
Biological sciences,document AI,0
Biological sciences,dialogue management,0
Biological sciences,question answering,1
Biological sciences,text-to-image generation,0
Biological sciences,text-to-scene generation,0
Biological sciences,text-to-video,0
Biological sciences,information retrieval,0
Biological sciences,information extraction,0
Biological sciences,multimodal systems,0
Biological sciences,automated writing assistance,0
Biological sciences,text simplification,0
Biological sciences,author profiling,0
Biological sciences,spam detection,0
Biological sciences,virtual agents,0
Civil engineering,temporal processing,0
Civil engineering,automatic summarization,0
Civil engineering,grammatical error correction,0
Civil engineering,machine translation,0
Civil engineering,natural-language understanding,0
Civil engineering,natural-language generation,0
Civil engineering,book generation,0
Civil engineering,document AI,0
Civil engineering,dialogue management,0
Civil engineering,question answering,0
Civil engineering,text-to-image generation,0
Civil engineering,text-to-scene generation,0
Civil engineering,text-to-video,0
Civil engineering,information retrieval,0
Civil engineering,information extraction,0
Civil engineering,multimodal systems,0
Civil engineering,automated writing assistance,0
Civil engineering,text simplification,0
Civil engineering,author profiling,0
Civil engineering,spam detection,0
Civil engineering,virtual agents,0
Electrical engineering,temporal processing,0
Electrical engineering,automatic summarization,0
Electrical engineering,grammatical error correction,0
Electrical engineering,machine translation,0
Electrical engineering,natural-language understanding,0
Electrical engineering,natural-language generation,0
Electrical engineering,book generation,0
Electrical engineering,document AI,0
Electrical engineering,dialogue management,0
Electrical engineering,question answering,0
Electrical engineering,text-to-image generation,0
Electrical engineering,text-to-scene generation,0
Electrical engineering,text-to-video,0
Electrical engineering,information retrieval,0
Electrical engineering,information extraction,0
Electrical engineering,multimodal systems,0
Electrical engineering,automated writing assistance,0
Electrical engineering,text simplification,0
Electrical engineering,author profiling,0
Electrical engineering,spam detection,0
Electrical engineering,virtual agents,0
Electronic engineering,temporal processing,0
Electronic engineering,automatic summarization,0
Electronic engineering,grammatical error correction,0
Electronic engineering,machine translation,0
Electronic engineering,natural-language understanding,0
Electronic engineering,natural-language generation,0
Electronic engineering,book generation,0
Electronic engineering,document AI,0
Electronic engineering,dialogue management,0
Electronic engineering,question answering,0
Electronic engineering,text-to-image generation,0
Electronic engineering,text-to-scene generation,0
Electronic engineering,text-to-video,0
Electronic engineering,information retrieval,0
Electronic engineering,information extraction,0
Electronic engineering,multimodal systems,0
Electronic engineering,automated writing assistance,0
Electronic engineering,text simplification,0
Electronic engineering,author profiling,0
